TransectID,veg_type,rate_m_yr,group
438,Degraded Vegetation,0.5191426662509779,Degraded Vegetation
439,Built-up,0.4139173949124123,Built-up
440,Built-up,2.5164770345149234,Built-up
441,Built-up,1.0785877319598514,Built-up
442,Degraded Vegetation,0.5064491183897951,Degraded Vegetation
443,Built-up,0.1002330618274117,Built-up
444,Built-up,3.305718085303756,Built-up
445,Built-up,2.142787696441406,Built-up
446,Degraded Vegetation,0.4366222558736664,Degraded Vegetation
447,Built-up,-0.1104622136469311,Built-up
448,Built-up,2.9326261505258264,Built-up
449,Degraded Vegetation,2.397941949688456,Degraded Vegetation
450,Degraded Vegetation,2.4790731814555125,Degraded Vegetation
451,Degraded Vegetation,4.09537284979779,Degraded Vegetation
452,Degraded Vegetation,1.194900105485035,Degraded Vegetation
453,Built-up,0.4747094831961276,Built-up
454,Degraded Vegetation,-0.2523503451950533,Degraded Vegetation
455,Degraded Vegetation,2.2184167671464325,Degraded Vegetation
456,Degraded Vegetation,2.362267026269792,Degraded Vegetation
457,Built-up,0.7028008150276761,Built-up
458,Built-up,1.3564378475414245,Built-up
459,Degraded Vegetation,1.1125358541651929,Degraded Vegetation
460,Degraded Vegetation,1.25950383995554,Degraded Vegetation
461,Built-up,4.855817049415614,Built-up
462,Degraded Vegetation,0.123400036659664,Degraded Vegetation
463,Degraded Vegetation,1.97819740080868,Degraded Vegetation
464,Built-up,0.9504147873622883,Built-up
465,Degraded Vegetation,0.5349899339768741,Degraded Vegetation
466,Degraded Vegetation,2.235103660203196,Degraded Vegetation
467,Degraded Vegetation,1.087030859492025,Degraded Vegetation
468,Degraded Vegetation,0.5113127300079443,Degraded Vegetation
469,Degraded Vegetation,1.3899289669899426,Degraded Vegetation
470,Degraded Vegetation,-0.3088844868106923,Degraded Vegetation
471,Built-up,3.883414252144913,Built-up
472,Degraded Vegetation,-0.0924654212975225,Degraded Vegetation
473,Built-up,0.5001187016343065,Built-up
474,Degraded Vegetation,1.5374308202300957,Degraded Vegetation
475,Degraded Vegetation,0.9988379882157292,Degraded Vegetation
476,Built-up,1.36327787206307,Built-up
477,Built-up,0.8611455660587404,Built-up
478,Degraded Vegetation,5.168208645302026,Degraded Vegetation
479,Degraded Vegetation,3.532528223388013,Degraded Vegetation
480,Built-up,4.478380014782879,Built-up
481,Built-up,4.298538583754471,Built-up
482,Degraded Vegetation,4.727560047712164,Degraded Vegetation
483,Built-up,-0.6086093082180997,Built-up
484,Degraded Vegetation,3.95151724226344,Degraded Vegetation
485,Built-up,4.273238485093681,Built-up
486,Degraded Vegetation,5.940450744677131,Degraded Vegetation
487,Built-up,0.6038324090139443,Built-up
488,Built-up,2.545494624977953,Built-up
489,Degraded Vegetation,0.6706390669910701,Degraded Vegetation
491,Healthy Vegetation,4.739161230748889,Healthy Vegetation
492,Degraded Vegetation,0.2600458546277188,Degraded Vegetation
493,Built-up,0.7580645721341417,Built-up
